3d834eff7e8a7b251a7a426a118c3fe872b3d44b,,,Remainder,0,0,0,,,,
,,,Done,43,43,43,,,,
,,,%Done,100.0%,100.0%,100.0%,,,,
,,#Yes,,1,,,,,,
File,Line,Type,Link,IsolateBound?,InitOnce?,ThreadSafe?,Comment,,,
third_party/blink/renderer/core/animation/length_interpolation_functions.cc,23,CSSLengthNonInterpolableValue,Link,No,Yes,No,,,,
third_party/blink/renderer/core/css/invalidation/invalidation_set.cc,309,InvalidationSet,Link,No,Yes,No,,,,
third_party/blink/renderer/core/css/invalidation/invalidation_set.cc,314,InvalidationSet,Link,No,Yes,No,,,,
third_party/blink/renderer/core/html/canvas/html_canvas_element.cc,673,blink::Image,Link,No,Yes,No,Static prerendered image,,,
third_party/blink/renderer/core/html/canvas/html_canvas_element.cc,678,blink::Image,Link,No,Yes,No,Static prerendered image,,,
third_party/blink/renderer/core/layout/layout_image_resource.cc,132,Image,Link,No,Yes,No,Static prerendered image,,,
third_party/blink/renderer/core/layout/layout_image_resource.cc,137,Image,Link,No,Yes,No,Static prerendered image,,,
third_party/blink/renderer/core/layout/layout_quote.cc,257,QuotesData,Link,No,Yes,No,,,,
third_party/blink/renderer/core/layout/layout_theme_android.cc,14,LayoutTheme,Link,No,Yes,No,,,,
third_party/blink/renderer/core/layout/layout_theme_fuchsia.cc,22,LayoutTheme,Link,No,Yes,No,,,,
third_party/blink/renderer/core/layout/layout_theme_linux.cc,16,LayoutTheme,Link,No,Yes,No,,,,
third_party/blink/renderer/core/layout/layout_theme_mac.mm,1024,LayoutTheme,Link,No,Yes,No,,,,
third_party/blink/renderer/core/layout/layout_theme_mac.mm,1027,LayoutTheme,Link,No,Yes,No,,,,
third_party/blink/renderer/core/layout/layout_theme_touchless.cc,17,LayoutTheme,Link,No,Yes,No,,,,
third_party/blink/renderer/core/layout/layout_theme_win.cc,14,LayoutTheme,Link,No,Yes,No,,,,
third_party/blink/renderer/core/layout/layout_theme.cc,75,LayoutTheme,Link,No,Yes,No,,,,
third_party/blink/renderer/core/paint/theme_painter_default.cc,486,Image,Link,No,Yes,No,,,,
third_party/blink/renderer/core/paint/theme_painter_default.cc,488,Image,Link,No,Yes,No,,,,
third_party/blink/renderer/core/style/computed_style.cc,132,ComputedStyle,Link,No,No,No,,,,
third_party/blink/renderer/core/style/style_path.cc,34,StylePath,Link,No,Yes,Yes,,,,
third_party/blink/renderer/core/style/svg_computed_style.cc,114,SVGDashArray,Link,No,No,No,,,,
third_party/blink/renderer/platform/animation/timing_function.cc,29,CubicBezierTimingFunction,Link,No,Yes,No,Precomputed animation timing curves,,,
third_party/blink/renderer/platform/animation/timing_function.cc,32,CubicBezierTimingFunction,Link,No,Yes,No,Precomputed animation timing curves,,,
third_party/blink/renderer/platform/animation/timing_function.cc,35,CubicBezierTimingFunction,Link,No,Yes,No,Precomputed animation timing curves,,,
third_party/blink/renderer/platform/animation/timing_function.cc,38,CubicBezierTimingFunction,Link,No,Yes,No,Precomputed animation timing curves,,,
third_party/blink/renderer/platform/animation/timing_function.h,84,LinearTimingFunction,Link,No,Yes,No,Precomputed animation timing curves,,,
third_party/blink/renderer/platform/animation/timing_function.h,176,StepsTimingFunction,Link,No,Yes,No,Precomputed animation timing curves,,,
third_party/blink/renderer/platform/animation/timing_function.h,177,StepsTimingFunction,Link,No,Yes,No,Precomputed animation timing curves,,,
third_party/blink/renderer/platform/bindings/dom_wrapper_world.cc,101,DOMWrapperWorld,Link,Yes,Yes,N/A,,,,
third_party/blink/renderer/platform/graphics/image.cc,70,Image,Link,No,Yes,No,Prerendererd image,,,
third_party/blink/renderer/platform/graphics/paint/clip_paint_property_node.cc,18,ClipPaintPropertyNode,Link,No,Yes,No,,,,
third_party/blink/renderer/platform/graphics/paint/effect_paint_property_node.cc,17,EffectPaintPropertyNode,Link,No,Yes,No,,,,
third_party/blink/renderer/platform/graphics/paint/paint_artifact.cc,112,PaintArtifact,Link,No,No,No,,,,
third_party/blink/renderer/platform/graphics/paint/property_tree_state.cc,14,TransformPaintPropertyNode,Link,No,Yes,Yes,,,,
third_party/blink/renderer/platform/graphics/paint/property_tree_state.cc,17,ClipPaintPropertyNode,Link,No,Yes,Yes,,,,
third_party/blink/renderer/platform/graphics/paint/property_tree_state.cc,20,EffectPaintPropertyNode,Link,No,Yes,Yes,,,,
third_party/blink/renderer/platform/graphics/paint/scroll_paint_property_node.cc,30,ScrollPaintPropertyNode,Link,No,Yes,Yes,,,,xx
third_party/blink/renderer/platform/graphics/paint/transform_paint_property_node.cc,20,TransformPaintPropertyNode,Link,No,Yes,Yes,,,,
third_party/blink/renderer/platform/graphics/placeholder_image.cc,58,Image,Link,No,Yes,No,,,,
third_party/blink/renderer/platform/text/bidi_context.cc,66,BidiContext,Link,No,Yes,Yes,,,,
third_party/blink/renderer/platform/text/bidi_context.cc,72,BidiContext,Link,No,Yes,Yes,,,,
third_party/blink/renderer/platform/text/bidi_context.cc,79,BidiContext,Link,No,Yes,Yes,,,,
third_party/blink/renderer/platform/text/bidi_context.cc,85,BidiContext,Link,No,Yes,Yes,,,,